lat,lon,rnc,mcc,mnc,lac,cellid,signal,radio,tech,earfcn,psc
41.98826824,14.97069143,126,222,10,36073,9053897,-93,UMTS,HSPA+,3038,128
41.98826824,14.97069143,126,222,10,36073,9053897,-93,UMTS,HSPA+,3038,128
41.98835387,14.97069697,118,222,10,36073,9055656,-91,UMTS,HSPA+,3038,128
41.98832321,14.97063526,111,222,10,36073,9053897,-91,UMTS,HSPA+,3038,128
41.9883826,14.97074699,118,222,10,36073,9055656,-95,UMTS,HSPA+,3038,128
41.98832321,14.97063526,111,222,10,36073,9053897,-91,UMTS,HSPA+,3038,128
41.98843807,14.97075264,117,222,10,36073,9055656,-81,UMTS,HSPA+,3038,128
41.98832321,14.97063526,111,222,10,36073,9053897,-91,UMTS,HSPA+,3038,128
41.98843807,14.97075264,117,222,10,36073,9055656,-81,UMTS,HSPA+,3038,128
41.98843807,14.97075264,117,222,10,36073,9055656,-81,UMTS,HSPA+,3038,128
41.98843807,14.97075264,117,222,10,36073,9055656,-81,UMTS,HSPA+,3038,128
41.98864536,14.97061521,122,222,10,36073,9055656,-75,UMTS,HSPA+,3038,128
41.98864536,14.97061521,122,222,10,36073,9055656,-75,UMTS,HSPA+,3038,128
41.98875949,14.97060973,126,222,10,36073,9055656,-95,UMTS,HSPA+,3038,128
41.98875949,14.97060973,126,222,10,36073,9055656,-95,UMTS,HSPA+,3038,128
41.98884679,14.97077856,130,222,10,36073,9055656,-75,UMTS,HSPA+,3038,128
41.98884679,14.97077856,130,222,10,36073,9055656,-75,UMTS,HSPA+,3038,128
41.98895034,14.97099308,128,222,10,36073,9055656,-81,UMTS,HSPA+,3038,128
41.98895034,14.97099308,128,222,10,36073,9055656,-81,UMTS,HSPA+,3038,128
41.98930169,14.97172799,124,222,10,36073,9055656,-71,UMTS,HSPA+,3038,128
41.98949626,14.97210083,124,222,10,36073,9055656,-79,UMTS,HSPA,3038,128
41.98961751,14.9723571,121,222,10,36073,9055656,-77,UMTS,HSPA+,3038,52
41.98961751,14.9723571,121,222,10,36073,9055656,-77,UMTS,HSPA+,3038,52
